Bevoelkerung nach Geburtslaendern, Staatsangehoerigkeit und Migrationshintergrund, 2012-2022 | population by place of birth, citizenship and migrational background by LAU2, 2012-2022;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;POP_TOTAL;BORN_AUT;BORN_FOR;NATIONALITY_AUT;NATIONALITY_FOR;MIG_BACKGROUND;YEAR
AT1;AT12;AT124;31324;Lichtenau im Waldviertel;2041;1987;54;2008;33;57;2012
AT1;AT12;AT124;31326;Maria Laach am Jauerling;949;924;25;928;21;26;2012
AT1;AT12;AT124;31327;Mautern an der Donau;3454;3191;263;3273;181;287;2012
AT1;AT12;AT124;31330;Mühldorf;1391;1334;57;1351;40;57;2012
AT1;AT12;AT124;31333;Paudorf;2486;2351;135;2408;78;149;2012
AT1;AT12;AT124;31336;Rastenfeld;1382;1340;42;1357;25;47;2012
AT1;AT12;AT124;31337;Rohrendorf bei Krems;2027;1872;155;1922;105;178;2012
AT1;AT12;AT124;31338;Rossatz-Arnsdorf;1095;1038;57;1057;38;60;2012
AT1;AT12;AT124;31340;St. Leonhard am Hornerwald;1151;1119;32;1128;23;34;2012
AT1;AT12;AT124;31343;Senftenberg;1888;1788;100;1828;60;103;2012
AT1;AT12;AT124;31344;Spitz;1673;1585;88;1604;69;98;2012
AT1;AT12;AT124;31346;Straß im Straßertale;1556;1466;90;1467;89;114;2012
AT1;AT12;AT124;31347;Stratzing;805;771;34;787;18;35;2012
AT1;AT12;AT124;31350;Weinzierl am Walde;1284;1268;16;1275;9;16;2012
AT1;AT12;AT124;31351;Weißenkirchen in der Wachau;1433;1377;56;1392;41;57;2012
AT1;AT12;AT124;31355;Schönberg am Kamp;1894;1798;96;1816;78;113;2012
AT1;AT12;AT124;31356;Droß;953;909;44;926;27;46;2012
AT1;AT12;AT122;31401;Annaberg;566;505;61;517;49;64;2012
AT1;AT12;AT122;31402;Eschenau;1360;1243;117;1278;82;122;2012
AT1;AT12;AT122;31403;Hainfeld;3724;3357;367;3468;256;399;2012
AT1;AT12;AT122;31404;Hohenberg;1527;1393;134;1452;75;143;2012
AT1;AT12;AT122;31405;Kaumberg;997;918;79;944;53;81;2012
AT1;AT12;AT122;31406;Kleinzell;844;783;61;805;39;63;2012
AT1;AT12;AT122;31407;Lilienfeld;2824;2416;408;2459;365;469;2012
AT1;AT12;AT122;31408;Mitterbach am Erlaufsee;547;495;52;505;42;57;2012
AT1;AT12;AT122;31409;Ramsau;871;752;119;782;89;125;2012
AT1;AT12;AT122;31410;Rohrbach an der Gölsen;1661;1569;92;1586;75;107;2012
AT1;AT12;AT122;31411;St. Aegyd am Neuwalde;2057;1949;108;1986;71;115;2012
AT1;AT12;AT122;31412;St. Veit an der Gölsen;3919;3676;243;3736;183;266;2012
AT1;AT12;AT122;31413;Traisen;3557;2956;601;3096;461;694;2012
AT1;AT12;AT122;31414;Türnitz;1919;1833;86;1874;45;89;2012
AT1;AT12;AT121;31502;Artstetten-Pöbring;1169;1136;33;1142;27;36;2012
